,Head,Flow,Power,Efficiency
0,0.0,0.0,0.0,0.0
1,185.0,0.0,0.0,0.0
2,185.0,58.78,0.1,10.87
3,185.0,65.66,0.2,19.46
4,185.0,72.62,0.3,26.4
5,185.0,79.64,0.4,32.09
6,185.0,86.73,0.5,36.83
7,185.0,93.88,0.6,40.84
8,185.0,101.11,0.7,44.23
9,185.0,108.4,0.8,47.15
10,185.0,115.76,0.9,49.68
11,185.0,123.19,1.0,51.87
12,185.0,130.69,1.1,53.78
13,185.0,138.26,1.2,55.46
14,185.0,145.89,1.3,56.93
15,185.0,153.59,1.4,58.24
16,185.0,161.36,1.5,59.4
17,185.0,169.2,1.6,60.42
18,185.0,177.11,1.7,61.33
19,190.0,0.0,0.0,0.0
20,190.0,58.09,0.1,10.71
21,190.0,64.72,0.2,19.22
22,190.0,71.42,0.3,26.13
23,190.0,78.17,0.4,31.83
24,190.0,84.99,0.5,36.6
25,190.0,91.88,0.6,40.63
26,190.0,98.83,0.7,44.06
27,190.0,105.86,0.8,47.01
28,190.0,112.94,0.9,49.58
29,190.0,120.09,1.0,51.81
30,190.0,127.3,1.1,53.76
31,190.0,134.58,1.2,55.47
32,190.0,141.92,1.3,56.99
33,190.0,149.33,1.4,58.33
34,190.0,156.8,1.5,59.51
35,190.0,164.34,1.6,60.57
36,190.0,171.94,1.7,61.51
37,200.0,0.0,0.0,0.0
38,200.0,56.91,0.1,10.38
39,200.0,63.08,0.2,18.74
40,200.0,69.3,0.3,25.59
41,200.0,75.57,0.4,31.28
42,200.0,81.91,0.5,36.08
43,200.0,88.31,0.6,40.15
44,200.0,94.76,0.7,43.66
45,200.0,101.28,0.8,46.69
46,200.0,107.85,0.9,49.32
47,200.0,114.48,1.0,51.63
48,200.0,121.17,1.1,53.66
49,200.0,127.91,1.2,55.45
50,200.0,134.72,1.3,57.03
51,200.0,141.58,1.4,58.44
52,200.0,148.5,1.5,59.7
53,200.0,155.48,1.6,60.82
54,200.0,162.52,1.7,61.82
55,200.0,169.61,1.8,62.72
56,200.0,176.77,1.9,63.53
57,200.0,183.98,2.0,64.25
58,200.0,191.24,2.1,64.9
59,200.0,198.57,2.2,65.48
60,210.0,0.0,0.0,0.0
61,210.0,56.03,0.1,10.05
62,210.0,61.82,0.2,18.21
63,210.0,67.65,0.3,24.96
64,210.0,73.54,0.4,30.61
65,210.0,79.47,0.5,35.41
66,210.0,85.47,0.6,39.51
67,210.0,91.5,0.7,43.06
68,210.0,97.59,0.8,46.14
69,210.0,103.74,0.9,48.83
70,210.0,109.94,1.0,51.2
71,210.0,116.18,1.1,53.29
72,210.0,122.47,1.2,55.15
73,210.0,128.82,1.3,56.8
74,210.0,135.22,1.4,58.28
75,210.0,141.67,1.5,59.6
76,210.0,148.17,1.6,60.78
77,210.0,154.73,1.7,61.84
78,210.0,161.32,1.8,62.8
79,210.0,167.98,1.9,63.67
80,210.0,174.69,2.0,64.44
81,210.0,181.44,2.1,65.15
82,210.0,188.25,2.2,65.78
83,210.0,195.11,2.3,66.35
84,210.0,202.02,2.4,66.87
85,210.0,208.99,2.5,67.33
86,210.0,215.99,2.6,67.76
87,210.0,223.06,2.7,68.13
88,220.0,0.0,0.0,0.0
89,220.0,55.35,0.1,9.71
90,220.0,60.82,0.2,17.67
91,220.0,66.33,0.3,24.3
92,220.0,71.89,0.4,29.9
93,220.0,77.48,0.5,34.67
94,220.0,83.14,0.6,38.78
95,220.0,88.82,0.7,42.34
96,220.0,94.56,0.8,45.45
97,220.0,100.34,0.9,48.19
98,220.0,106.17,1.0,50.61
99,220.0,112.04,1.1,52.75
100,220.0,117.95,1.2,54.66
101,220.0,123.91,1.3,56.37
102,220.0,129.92,1.4,57.9
103,220.0,135.97,1.5,59.27
104,220.0,142.06,1.6,60.51
105,220.0,148.21,1.7,61.63
106,220.0,154.39,1.8,62.64
107,220.0,160.62,1.9,63.55
108,220.0,166.89,2.0,64.39
109,220.0,173.21,2.1,65.14
