,Head,Flow,Power,Efficiency
0,0,0.0,0,0.0
1,370,0.0,0,0.0
2,370,350.94,2,18.21
3,370,385.23,4,33.17
4,370,425.05,6,45.1
5,370,469.59,8,54.43
6,370,518.09,10,61.66
7,370,569.88,12,67.27
8,370,624.35,14,71.64
9,370,681.0,16,75.06
10,370,739.36,18,77.78
11,370,799.09,20,79.96
12,370,859.87,22,81.74
13,370,921.5,24,83.2
14,370,983.85,26,84.43
15,370,1046.84,28,85.45
16,370,1110.49,30,86.3
17,370,1174.89,32,87.01
18,370,1240.22,34,87.58
19,370,1306.71,36,88.01
20,370,1374.69,38,88.31
21,370,1444.56,40,88.46
22,370,1516.78,42,88.46
23,370,1591.91,44,88.3
24,370,1670.57,46,87.97
25,370,1753.48,48,87.45
26,370,1841.4,50,86.75
27,370,1935.21,52,85.84
28,370,1984.6,53,85.32
29,375,0.0,0,0.0
30,375,361.1,2,17.46
31,375,392.89,4,32.09
32,375,430.58,6,43.92
33,375,473.3,8,53.28
34,375,520.26,10,60.59
35,375,570.74,12,66.27
36,375,624.11,14,70.71
37,375,679.82,16,74.19
38,375,737.39,18,76.94
39,375,796.42,20,79.16
40,375,856.59,22,80.96
41,375,917.68,24,82.44
42,375,979.53,26,83.67
43,375,1042.05,28,84.7
44,375,1105.25,30,85.56
45,375,1169.22,32,86.27
46,375,1234.11,34,86.84
47,375,1300.16,36,87.28
48,375,1367.7,38,87.58
49,375,1437.13,40,87.73
50,375,1508.92,42,87.74
51,375,1583.64,44,87.58
52,375,1661.93,46,87.25
53,375,1744.5,48,86.73
54,375,1832.16,50,86.02
55,375,1925.77,52,85.11
56,375,2026.31,54,84.0
57,380,0.0,0,0.0
58,380,362.74,2,17.15
59,380,392.96,4,31.66
60,380,429.2,6,43.48
61,380,470.59,8,52.88
62,380,516.33,10,60.24
63,380,565.71,12,65.98
64,380,618.07,14,70.46
65,380,672.86,16,73.97
66,380,729.59,18,76.74
67,380,787.84,20,78.97
68,380,847.29,22,80.77
69,380,907.68,24,82.25
70,380,968.84,26,83.48
71,380,1030.66,28,84.51
72,380,1093.11,30,85.37
73,380,1156.27,32,86.09
74,380,1220.25,34,86.67
75,380,1285.27,36,87.13
76,380,1351.61,38,87.45
77,380,1419.65,40,87.64
78,380,1489.82,42,87.69
79,380,1562.64,44,87.59
80,380,1638.7,46,87.32
81,380,1718.7,48,86.87
82,380,1803.37,50,86.24
83,380,1893.54,52,85.42
84,380,1990.13,54,84.4
85,385,0.0,0,0.0
86,385,359.27,2,17.09
87,385,390.49,4,31.45
88,385,427.21,6,43.12
89,385,468.65,8,52.41
90,385,514.1,10,59.72
91,385,562.93,12,65.45
92,385,614.55,14,69.94
93,385,668.45,16,73.49
94,385,724.21,18,76.31
95,385,781.45,20,78.58
96,385,839.86,22,80.42
97,385,899.2,24,81.95
98,385,959.32,26,83.21
99,385,1020.1,28,84.27
100,385,1081.51,30,85.16
101,385,1143.6,32,85.91
102,385,1206.46,34,86.52
103,385,1270.26,36,87.01
104,385,1335.24,38,87.38
105,385,1401.7,40,87.61
106,385,1470.03,42,87.72
107,385,1540.65,44,87.68
108,385,1614.08,46,87.5
109,385,1690.89,48,87.16
110,385,1771.73,50,86.64
111,385,1857.31,52,85.96
112,385,1948.4,54,85.09
113,390,0.0,0,0.0
114,390,357.91,2,16.94
115,390,389.45,4,31.13
116,390,426.12,6,42.68
117,390,467.22,8,51.9
118,390,512.11,10,59.18
119,390,560.21,12,64.92
120,390,610.97,14,69.45
121,390,663.95,16,73.04
122,390,718.73,18,75.91
123,390,774.97,20,78.22
124,390,832.38,22,80.11
125,390,890.74,24,81.66
126,390,949.88,26,82.96
127,390,1009.7,28,84.05
128,390,1070.16,30,84.96
129,390,1131.26,32,85.73
130,390,1193.09,34,86.37
131,390,1255.77,36,86.89
132,390,1319.52,38,87.28
133,390,1384.57,40,87.56
134,390,1451.25,42,87.71
135,390,1519.93,44,87.74
136,390,1591.05,46,87.63
137,390,1665.11,48,87.37
138,390,1742.66,50,86.96
139,390,1824.32,52,86.39
140,390,1910.77,54,85.65
141,395,0.0,0,0.0
142,395,356.51,2,16.79
143,395,388.35,4,30.82
144,395,424.98,6,42.25
145,395,465.76,8,51.4
146,395,510.12,10,58.66
147,395,557.51,12,64.41
148,395,607.45,14,68.97
149,395,659.53,16,72.6
150,395,713.36,18,75.51
151,395,768.63,20,77.87
152,395,825.07,22,79.79
153,395,882.47,24,81.38
154,395,940.66,26,82.71
155,395,999.55,28,83.83
156,395,1059.07,30,84.77
157,395,1119.22,32,85.56
158,395,1180.06,34,86.22
159,395,1241.7,36,86.76
160,395,1304.29,38,87.19
161,395,1368.05,40,87.5
162,395,1433.24,42,87.69
163,395,1500.18,44,87.77
164,395,1569.24,46,87.72
165,395,1640.86,48,87.54
166,395,1715.5,50,87.22
167,395,1793.7,52,86.75
168,395,1876.04,54,86.14
169,400,0.0,0,0.0
170,400,355.05,2,16.65
171,400,387.14,4,30.53
172,400,423.72,6,41.84
173,400,464.22,8,50.93
174,400,508.1,10,58.16
175,400,554.86,12,63.91
176,400,604.08,14,68.49
177,400,655.34,16,72.15
178,400,708.31,18,75.1
179,400,762.69,20,77.49
180,400,818.22,22,79.46
181,400,874.71,24,81.08
182,400,931.99,26,82.44
183,400,989.97,28,83.58
184,400,1048.57,30,84.55
185,400,1107.79,32,85.36
186,400,1167.66,34,86.05
187,400,1228.27,36,86.61
188,400,1289.74,38,87.07
189,400,1352.26,40,87.41
190,400,1416.05,42,87.65
191,400,1481.39,44,87.77
192,400,1548.6,46,87.78
193,400,1618.04,48,87.66
194,400,1690.14,50,87.42
195,400,1765.37,52,87.04
196,400,1844.22,54,86.53
197,405,0.0,0,0.0
198,405,352.13,2,16.58
199,405,384.78,4,30.34
200,405,421.6,6,41.54
201,405,462.04,8,50.53
202,405,505.62,10,57.72
