,Head,Flow,Power,Efficiency
0,0.0,0.0,0.0,0.0
1,370.0,0.0,0.0,0.0
2,370.0,217.84,2.0,29.33
3,370.0,273.01,4.0,46.81
4,370.0,329.0,6.0,58.26
5,370.0,385.82,8.0,66.24
6,370.0,443.47,10.0,72.04
7,370.0,501.95,12.0,76.37
8,370.0,561.25,14.0,79.69
9,370.0,621.38,16.0,82.26
10,370.0,682.34,18.0,84.28
11,370.0,744.13,20.0,85.86
12,370.0,806.74,22.0,87.12
13,370.0,870.19,24.0,88.11
14,370.0,934.45,26.0,88.89
15,370.0,999.55,28.0,89.49
16,370.0,1065.48,30.0,89.95
17,370.0,1132.23,32.0,90.29
18,370.0,1199.81,34.0,90.53
19,370.0,1268.21,36.0,90.69
20,370.0,1337.45,38.0,90.77
21,370.0,1407.51,40.0,90.79
22,370.0,1478.4,42.0,90.76
23,370.0,1550.11,44.0,90.68
24,370.0,1622.66,46.0,90.56
25,370.0,1696.03,48.0,90.41
26,370.0,1770.23,50.0,90.23
27,370.0,1845.26,52.0,90.03
28,370.0,1921.11,54.0,89.8
29,370.0,1997.79,56.0,89.55
30,370.0,2075.3,58.0,89.28
31,370.0,2153.64,60.0,89.0
32,370.0,2232.8,62.0,88.71
33,370.0,2312.79,64.0,88.4
34,375.0,0.0,0.0,0.0
35,375.0,219.89,2.0,28.67
36,375.0,273.84,4.0,46.04
37,375.0,328.61,6.0,57.55
38,375.0,384.21,8.0,65.63
39,375.0,440.64,10.0,71.53
40,375.0,497.89,12.0,75.97
41,375.0,555.97,14.0,79.37
42,375.0,614.88,16.0,82.02
43,375.0,674.62,18.0,84.1
44,375.0,735.18,20.0,85.75
45,375.0,796.57,22.0,87.06
46,375.0,858.79,24.0,88.09
47,375.0,921.84,26.0,88.9
48,375.0,985.72,28.0,89.54
49,375.0,1050.42,30.0,90.02
50,375.0,1115.95,32.0,90.39
51,375.0,1182.3,34.0,90.65
52,375.0,1249.49,36.0,90.82
53,375.0,1317.5,38.0,90.91
54,375.0,1386.34,40.0,90.95
55,375.0,1456.01,42.0,90.92
56,375.0,1526.5,44.0,90.86
57,375.0,1597.82,46.0,90.75
58,375.0,1669.97,48.0,90.6
59,375.0,1742.95,50.0,90.42
60,375.0,1816.75,52.0,90.22
61,375.0,1891.39,54.0,89.99
62,375.0,1966.84,56.0,89.75
63,375.0,2043.13,58.0,89.48
64,375.0,2120.25,60.0,89.2
65,375.0,2198.19,62.0,88.9
66,375.0,2276.96,64.0,88.6
67,375.0,2356.55,66.0,88.28
68,380.0,0.0,0.0,0.0
69,380.0,221.89,2.0,28.04
70,380.0,274.65,4.0,45.3
71,380.0,328.23,6.0,56.86
72,380.0,382.64,8.0,65.03
73,380.0,437.87,10.0,71.04
74,380.0,493.94,12.0,75.57
75,380.0,550.83,14.0,79.06
76,380.0,608.55,16.0,81.78
77,380.0,667.1,18.0,83.93
78,380.0,726.47,20.0,85.64
79,380.0,786.67,22.0,86.99
80,380.0,847.7,24.0,88.07
81,380.0,909.56,26.0,88.92
82,380.0,972.24,28.0,89.58
83,380.0,1035.75,30.0,90.1
84,380.0,1100.09,32.0,90.48
85,380.0,1165.26,34.0,90.76
86,380.0,1231.26,36.0,90.95
87,380.0,1298.08,38.0,91.06
88,380.0,1365.73,40.0,91.1
89,380.0,1434.2,42.0,91.09
90,380.0,1503.51,44.0,91.03
91,380.0,1573.64,46.0,90.93
92,380.0,1644.6,48.0,90.79
93,380.0,1716.39,50.0,90.61
94,380.0,1789.0,52.0,90.41
95,380.0,1862.44,54.0,90.19
96,380.0,1936.71,56.0,89.94
97,380.0,2011.81,58.0,89.68
98,380.0,2087.73,60.0,89.4
99,380.0,2164.48,62.0,89.1
100,380.0,2242.06,64.0,88.79
101,380.0,2320.47,66.0,88.47
102,380.0,2359.98,67.0,88.31
103,385.0,0.0,0.0,0.0
104,385.0,223.84,2.0,27.43
105,385.0,275.44,4.0,44.59
106,385.0,327.86,6.0,56.19
107,385.0,381.11,8.0,64.45
108,385.0,435.19,10.0,70.55
109,385.0,490.09,12.0,75.18
110,385.0,545.82,14.0,78.75
111,385.0,602.38,16.0,81.55
112,385.0,659.77,18.0,83.76
113,385.0,717.99,20.0,85.52
114,385.0,777.03,22.0,86.93
115,385.0,836.9,24.0,88.05
116,385.0,897.6,26.0,88.93
117,385.0,959.12,28.0,89.63
118,385.0,1021.47,30.0,90.17
119,385.0,1084.65,32.0,90.58
120,385.0,1148.66,34.0,90.88
121,385.0,1213.5,36.0,91.08
122,385.0,1279.16,38.0,91.21
123,385.0,1345.65,40.0,91.26
124,385.0,1412.97,42.0,91.26
125,385.0,1481.11,44.0,91.21
126,385.0,1550.08,46.0,91.11
127,385.0,1619.88,48.0,90.98
128,385.0,1690.51,50.0,90.81
129,385.0,1761.97,52.0,90.61
130,385.0,1834.25,54.0,90.39
131,385.0,1907.36,56.0,90.14
132,385.0,1981.3,58.0,89.88
133,385.0,2056.06,60.0,89.6
134,385.0,2131.66,62.0,89.3
135,385.0,2208.08,64.0,88.99
136,385.0,2285.32,66.0,88.67
137,385.0,2363.4,68.0,88.34
138,385.0,2402.75,69.0,88.17
139,390.0,0.0,0.0,0.0
140,390.0,225.74,2.0,26.85
141,390.0,276.2,4.0,43.89
142,390.0,327.5,6.0,55.53
143,390.0,379.62,8.0,63.87
144,390.0,432.56,10.0,70.07
145,390.0,486.34,12.0,74.78
146,390.0,540.94,14.0,78.44
147,390.0,596.37,16.0,81.31
148,390.0,652.63,18.0,83.59
149,390.0,709.72,20.0,85.41
150,390.0,767.63,22.0,86.86
151,390.0,826.37,24.0,88.02
152,390.0,885.94,26.0,88.95
153,390.0,946.34,28.0,89.68
154,390.0,1007.56,30.0,90.24
155,390.0,1069.61,32.0,90.68
156,390.0,1132.49,34.0,90.99
157,390.0,1196.19,36.0,91.22
158,390.0,1260.73,38.0,91.35
159,390.0,1326.09,40.0,91.42
160,390.0,1392.28,42.0,91.43
161,390.0,1459.29,44.0,91.39
162,390.0,1527.13,46.0,91.29
163,390.0,1595.8,48.0,91.16
164,390.0,1665.3,50.0,91.0
165,390.0,1735.63,52.0,90.81
166,390.0,1806.78,54.0,90.58
167,390.0,1878.76,56.0,90.34
168,390.0,1951.57,58.0,90.08
169,390.0,2025.21,60.0,89.79
170,390.0,2099.67,62.0,89.5
171,390.0,2174.96,64.0,89.19
172,390.0,2251.08,66.0,88.86
173,390.0,2328.03,68.0,88.53
174,390.0,2405.8,70.0,88.19
175,395.0,0.0,0.0,0.0
176,395.0,227.59,2.0,26.3
177,395.0,276.95,4.0,43.22
178,395.0,327.14,6.0,54.88
179,395.0,378.16,8.0,63.31
180,395.0,430.01,10.0,69.59
181,395.0,482.69,12.0,74.4
182,395.0,536.19,14.0,78.13
183,395.0,590.52,16.0,81.08
184,395.0,645.67,18.0,83.42
185,395.0,701.66,20.0,85.3
186,395.0,758.47,22.0,86.8
187,395.0,816.11,24.0,88.0
188,395.0,874.58,26.0,88.96
189,395.0,933.87,28.0,89.72
190,395.0,994.0,30.0,90.32
191,395.0,1054.95,32.0,90.77
192,395.0,1116.72,34.0,91.11
193,395.0,1179.33,36.0,91.35
194,395.0,1242.76,38.0,91.5
195,395.0,1307.02,40.0,91.58
196,395.0,1372.11,42.0,91.6
197,395.0,1438.02,44.0,91.56
198,395.0,1504.76,46.0,91.48
199,395.0,1572.33,48.0,91.35
200,395.0,1640.73,50.0,91.19
201,395.0,1709.96,52.0,91.0
202,395.0,1780.01,54.0,90.78
203,395.0,1850.89,56.0,90.54
204,395.0,1922.6,58.0,90.28
205,395.0,1995.13,60.0,89.99
206,395.0,2068.49,62.0,89.7
207,395.0,2142.68,64.0,89.38
208,395.0,2217.7,66.0,89.06
209,395.0,2293.55,68.0,88.72
210,395.0,2370.22,70.0,88.38
211,395.0,2447.72,72.0,88.02
212,400.0,0.0,0.0,0.0
213,400.0,229.39,2.0,25.76
214,400.0,277.68,4.0,42.57
215,400.0,326.8,6.0,54.25
216,400.0,376.75,8.0,62.75
217,400.0,427.52,10.0,69.12
218,400.0,479.12,12.0,74.01
219,400.0,531.55,14.0,77.83
220,400.0,584.81,16.0,80.85
221,400.0,638.89,18.0,83.26
222,400.0,693.8,20.0,85.19
223,400.0,749.54,22.0,86.74
224,400.0,806.11,24.0,87.98
225,400.0,863.5,26.0,88.98
226,400.0,921.72,28.0,89.77
227,400.0,980.77,30.0,90.39
228,400.0,1040.65,32.0,90.87
229,400.0,1101.35,34.0,91.23
230,400.0,1162.88,36.0,91.48
231,400.0,1225.24,38.0,91.65
232,400.0,1288.43,40.0,91.74
233,400.0,1352.44,42.0,91.77
234,400.0,1417.28,44.0,91.74
235,400.0,1482.95,46.0,91.66
236,400.0,1549.45,48.0,91.54
237,400.0,1616.77,50.0,91.39
238,400.0,1684.93,52.0,91.2
239,400.0,1753.91,54.0,90.98
240,400.0,1823.71,56.0,90.74
241,400.0,1894.35,58.0,90.48
242,400.0,1965.81,60.0,90.19
243,400.0,2038.1,62.0,89.9
244,400.0,2111.21,64.0,89.58
245,400.0,2185.16,66.0,89.25
246,400.0,2259.93,68.0,88.92
247,400.0,2335.53,70.0,88.57
248,400.0,2411.95,72.0,88.21
249,405.0,0.0,0.0,0.0
250,405.0,231.15,2.0,25.25
251,405.0,278.39,4.0,41.94
252,405.0,326.46,6.0,53.64
253,405.0,375.36,8.0,62.2
254,405.0,425.09,10.0,68.66
255,405.0,475.65,12.0,73.63
256,405.0,527.03,14.0,77.53
257,405.0,579.24,16.0,80.62
258,405.0,632.27,18.0,83.09
259,405.0,686.14,20.0,85.07
260,405.0,740.83,22.0,86.67
261,405.0,796.35,24.0,87.96
262,405.0,852.7,26.0,88.99
263,405.0,909.87,28.0,89.82
264,405.0,967.87,30.0,90.46
265,405.0,1026.7,32.0,90.97
266,405.0,1086.36,34.0,91.34
267,405.0,1146.85,36.0,91.62
268,405.0,1208.16,38.0,91.8
269,405.0,1270.3,40.0,91.9
270,405.0,1333.27,42.0,91.94
271,405.0,1397.06,44.0,91.92
272,405.0,1461.68,46.0,91.85
273,405.0,1527.13,48.0,91.74
274,405.0,1593.41,50.0,91.58
275,405.0,1660.51,52.0,91.4
276,405.0,1728.45,54.0,91.18
277,405.0,1797.21,56.0,90.94
278,405.0,1866.79,58.0,90.68
279,405.0,1937.21,60.0,90.4
280,405.0,2008.45,62.0,90.1
281,405.0,2080.52,64.0,89.78
282,405.0,2153.42,66.0,89.45
283,405.0,2227.14,68.0,89.11
284,405.0,2301.69,70.0,88.76
285,405.0,2377.07,72.0,88.4
286,410.0,0.0,0.0,0.0
287,410.0,232.86,2.0,24.76
288,410.0,279.09,4.0,41.32
289,410.0,326.14,6.0,53.04
290,410.0,374.02,8.0,61.67
291,410.0,422.72,10.0,68.2
292,410.0,472.25,12.0,73.26
293,410.0,522.62,14.0,77.23
294,410.0,573.8,16.0,80.39
295,410.0,625.82,18.0,82.92
296,410.0,678.66,20.0,84.96
297,410.0,732.33,22.0,86.61
298,410.0,786.83,24.0,87.94
299,410.0,842.16,26.0,89.01
300,410.0,898.31,28.0,89.86
301,410.0,955.29,30.0,90.54
302,410.0,1013.1,32.0,91.06
303,410.0,1071.74,34.0,91.46
304,410.0,1131.2,36.0,91.75
305,410.0,1191.49,38.0,91.95
306,410.0,1252.61,40.0,92.06
307,410.0,1314.55,42.0,92.11
308,410.0,1377.33,44.0,92.1
309,410.0,1440.93,46.0,92.04
310,410.0,1505.36,48.0,91.93
311,410.0,1570.61,50.0,91.78
312,410.0,1636.7,52.0,91.6
313,410.0,1703.61,54.0,91.38
314,410.0,1771.35,56.0,91.14
315,410.0,1839.91,58.0,90.88
316,410.0,1909.31,60.0,90.6
317,410.0,1979.53,62.0,90.3
